order_id,order_item_id,existing_profit,calculated_profit,difference,existing_margin,calculated_margin,existing_roi,calculated_roi
114-1841006-9706662,9430,-36.01,0.00,36.01,-25.07,0.00,-20.04,0.00
113-4099207-4740266,9012,33.06,-1.17,-34.23,84.99,-3.01,None,NULL
113-6371115-7689862,9427,23.03,0.00,-23.03,70.8,0.00,None,NULL
113-9003132-6204227,6294,892.27,0.00,-892.27,88.0,0.00,None,NULL
113-3939766-6582651,5847,20.4,0.00,-20.40,None,0.00,None,NULL
114-1371756-6229801,8669,34.63,0.00,-34.63,69.75,0.00,None,NULL
114-8309199-6443409,9180,66.93,0.00,-66.93,85.0,0.00,None,NULL
111-0336780-8609850,9401,-36.01,0.00,36.01,-25.07,0.00,-20.04,0.00
114-2840514-4651407,5848,102.0,0.00,-102.00,85.0,0.00,None,NULL
113-8782023-2281803,5876,453.86,0.00,-453.86,85.0,0.00,None,NULL
111-4734906-5165839,9243,107.97,0.00,-107.97,80.8,0.00,None,NULL
113-7227774-4420255,8221,-8.64,0.00,8.64,None,NULL,None,NULL
113-6283221-9572207,9436,23.33,0.00,-23.33,66.71,0.00,None,NULL
114-1193728-6903456,9761,29.62,-13.57,-43.19,11.97,-4.66,13.6,-6.37
112-6019202-7590610,9456,146.86,0.00,-146.86,82.04,0.00,None,NULL
114-8338505-5880211,9432,57.53,0.00,-57.53,72.82,0.00,None,NULL
112-2395161-3828201,9453,110.44,0.00,-110.44,82.36,0.00,None,NULL
113-9090725-0993841,9455,-12.07,0.00,12.07,-47.39,0.00,-32.15,0.00
114-7801635-0457840,9434,-6.54,0.00,6.54,-24.07,0.00,-19.4,0.00
114-1246090-7042627,7017,58.87,-10.58,-69.45,None,-2.40,None,-3.22
112-8130484-8015436,7483,188.37,0.00,-188.37,None,0.00,None,NULL
112-3910723-3925864,5877,63.15,0.00,-63.15,88.0,0.00,None,NULL
113-9691650-6274640,9445,110.44,0.00,-110.44,82.36,0.00,None,NULL
113-7357766-5834628,9446,69.06,0.00,-69.06,70.47,0.00,None,NULL
111-8835481-2545815,9437,146.94,-9.92,-156.86,96.98,-5.57,3215.32,NULL
112-4813027-4204210,9448,117.48,-8.18,-125.66,96.04,-5.88,2427.27,NULL
113-2578230-9132244,9449,42.49,0.00,-42.49,70.85,0.00,None,NULL
113-6259269-8985069,9364,60.34,-6.33,-66.67,68.65,-12.68,218.94,-13.93
111-2859553-4333060,5878,-75.95,-65.40,10.55,-90.5,-77.93,-51.57,-47.83
111-7086124-0457854,9463,160.25,0.00,-160.25,80.73,0.00,None,NULL
114-2662237-0407410,9460,-12.07,0.00,12.07,-47.39,0.00,-32.15,0.00
112-3381004-0493804,9479,55.24,0.00,-55.24,73.68,0.00,None,NULL
113-6948829-9597037,9478,198.63,-11.69,-210.32,97.78,-4.89,4394.47,NULL
112-0781292-3326641,9246,2.59,-4.87,-7.46,35.92,-57.43,56.06,NULL
113-7349279-6105858,9482,32.0,0.00,-32.00,68.76,0.00,None,NULL
114-2276111-1161851,9489,-170.06,0.00,170.06,-105.71,0.00,-56.83,0.00
114-6328907-4200241,9487,69.84,0.00,-69.84,78.47,0.00,None,NULL
113-2815797-3456221,9488,152.95,-8.87,-161.82,97.1,-4.96,3346.83,NULL
112-2688202-5280200,8114,18.92,-13.95,-32.87,26.81,-16.81,36.64,-34.72
111-3834182-7781007,9878,86.99,-16.72,-103.71,21.56,-4.14,34.61,-6.65
114-8130205-2377008,8670,0.87,0.00,-0.87,8.76,0.00,None,NULL
111-4326700-7483405,8489,-7.34,0.00,7.34,None,NULL,None,NULL
111-2996630-2070632,9472,94.36,0.00,-94.36,78.69,0.00,None,NULL
114-3011071-9716250,9252,40.03,0.00,-40.03,19.79,0.00,24.67,0.00
113-9083364-6453037,8156,42.71,-15.95,-58.66,19.95,-6.33,24.93,-9.79
114-1827085-8726607,9495,109.65,0.00,-109.65,78.88,0.00,None,NULL
113-6420827-0449813,8139,4804.99,0.00,-4804.99,86.74,0.00,None,NULL
113-2121839-0423442,9494,43.1,0.00,-43.10,71.87,0.00,None,NULL
113-2865881-3740258,6637,-153791.94,-147904.86,5887.08,-1277.17,-1228.28,-93.55,-93.31
112-9175348-6008257,9028,-9193.29,0.00,9193.29,-164.25,0.00,-65.93,0.00
113-5895320-0739446,8671,0.87,0.00,-0.87,8.76,0.00,None,NULL
111-6237675-1601806,9339,32.74,0.00,-32.74,65.61,0.00,None,NULL
112-8380353-5553840,8776,67.4,0.00,-67.40,75.98,0.00,None,NULL
111-2589947-0241852,1114,-10.33,0.00,10.33,None,NULL,None,NULL
111-1430281-1336225,6678,52.97,0.00,-52.97,None,0.00,None,0.00
114-9773955-1942610,9409,189.65,-11.43,-201.08,83.0,-5.00,None,NULL
112-6940959-2048266,9514,148.19,-10.11,-158.30,82.38,-5.62,None,NULL
111-4460854-4951453,9510,29.74,0.00,-29.74,66.13,0.00,None,NULL
114-1217850-9973000,9509,-4.48,0.00,4.48,-15.4,0.00,-13.35,0.00
111-1991635-8686619,9688,-8.24,0.00,8.24,-4.7,0.00,-4.49,0.00
112-7856405-3568241,9525,-36.01,0.00,36.01,-25.07,0.00,-20.04,0.00
111-0817288-4103429,9856,100.15,-27.49,-127.64,22.75,-6.25,37.05,-10.17
111-1378601-2724207,9108,270.28,-12.34,-282.62,86.45,-3.95,None,NULL
112-0727119-3941858,9521,80.38,-7.57,-87.95,80.43,-7.57,None,NULL
113-4637181-6572214,1111,-76.44,0.00,76.44,None,NULL,None,NULL
113-7928093-2034653,8569,472.51,0.00,-472.51,83.5,0.00,None,NULL
113-6475927-5963428,9526,61.7,-6.91,-68.61,93.1,-8.86,1350.11,NULL
113-8464716-2905833,9527,39.4,-5.77,-45.17,89.61,-11.55,862.14,NULL
112-1998915-7349814,9396,241.08,-11.14,-252.22,98.19,-3.99,5429.73,NULL
113-8908533-6435431,9523,79.31,-7.81,-87.12,94.25,-7.89,1638.64,NULL
114-5704425-1102646,9340,258.28,-12.02,-270.30,98.16,-4.02,5336.36,NULL
111-5316566-7363427,9362,79.58,-7.54,-87.12,94.57,-7.62,1741.36,NULL
111-3768354-9232209,9517,155.59,-10.37,-165.96,97.06,-5.50,3303.4,NULL
111-8149018-5412258,7376,9.01,-1.75,-10.76,None,-3.01,None,-4.32
112-0780751-1129037,9519,237.02,0.00,-237.02,84.95,0.00,None,NULL
